cdgo_jzgdo,dscrpcn_jzgdo,cnsctvo_cdgo_dpto,dscrpcn_jzgdo_hmlgdo,cnsctvo_cdgo_cdd,
50011200320,D.S.A.J. AREA JURIDICA- GRUPO DE COBRO COACTIVO,32,NULL,6673,
50011200600,D.S.A.J. AREA FINANCIERA,32,NULL,6673,
50011200610,D.S.A.J. AREA FINANCIERA-GRUPO DE PAGADURIA,32,NULL,6673,
50011200620,D.S.A.J. AREA FINANCIERA-GRUPO DE EJECUCION PRESUPUESTAL,32,NULL,6673,
50011200630,D.S.A.J. AREA FINANCIERA-GRUPO DE CONTABILIDAD,32,NULL,6673,
50011200700,D.S.A.J. AREA DE TALENTO HUMANO,32,NULL,6673,
50011200710,D.S.A.J. AREA DE TALENTO HUMANO - GRUPO DE ASUNTOS LABORALES,32,NULL,6673,
50011200720,D.S.A.J. AREA DE TALENTO HUMANO - GRUPO BIENESTAR Y SALUD OCUPACIONAL,32,NULL,6673,
50011270001,DIRECCION SECCIONAL DE LA RAMA JUDICIAL CENTRO DE SERVICIOS ADMINISTRATIVOS,32,NULL,6673,
50011398000,CONSEJO SECCIONAL DE LA JUDICATURA DE ANTIOQUIA - SECRETARIA,32,NULL,6673,
50011398001,CONSEJO SECCIONAL DE LA JUDICATURA DE ANTIOQUIA - DESPACHO 1,32,NULL,6673,
50011398002,CONSEJO SECCIONAL DE LA JUDICATURA DE ANTIOQUIA - DESPACHO 2,32,NULL,6673,
50011398003,CONSEJO SECCIONAL DE LA JUDICATURA DE ANTIOQUIA - DESPACHO 3,32,NULL,6673,
50011398200,CONSEJO SECCIONAL DE LA JUDICATURA DE ANTIOQUIA - UNIDAD DE AUDITORIA - OFICINA SECCIONAL,32,NULL,6673,
50012203000,SECRETARIA DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,NULL,6673,
50012203001,DESPACHO 001 DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO PRIMERO DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012203002,DESPACHO 002 DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO SEGUNDO DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012203003,DESPACHO 003 DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO TERCERO DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012203004,DESPACHO 004 DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO CUARTO DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012203005,DESPACHO 005 DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO QUINTO DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012203006,DESPACHO 006 DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO SEXTO DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012203007,DESPACHO 007 DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO SEPTIMO DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012203008,DESPACHO 008 DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO OCTAVO DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012203009,DESPACHO 009 DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO NOVENO DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012203010,DESPACHO 010 DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO DECIMO DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012203011,DESPACHO 011 DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO ONCE DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012203012,DESPACHO 012 DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO DOCE DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012204000,SECRETARIA 000 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,NULL,6673,
50012204001,DESPACHO 001 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO PRIMERO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012204002,DESPACHO 002 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO SEGUNDO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012204003,DESPACHO 003 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO TERCERO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012204004,DESPACHO 004 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO CUARTO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012204005,DESPACHO 005 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO QUINTO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012204006,DESPACHO 006 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN,32,DESPACHO SEXTO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN,6673,
50012204007,DESPACHO 007 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO SEPTIMO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012204008,DESPACHO 008 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO OCTAVO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012204009,DESPACHO 009 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO NOVENO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012204010,DESPACHO 010 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO DECIMO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012204011,DESPACHO 011 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO ONCE DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012204012,DESPACHO 012 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO DOCE DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012204013,DESPACHO 013 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO TRECE DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012204014,DESPACHO 014 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO CATORCE DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012204015,DESPACHO 015 DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO QUINCE DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MEDELLIN,6673,
50012205000,SECRETARIA DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,NULL,6673,
50012205001,DESPACHO 001 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO PRIMERO DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012205002,DESPACHO 002 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO SEGUNDO DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012205003,DESPACHO 003 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO TERCERO DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012205004,DESPACHO 004 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO CUARTO DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012205005,DESPACHO 005 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO QUINTO DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012205006,DESPACHO 006 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO SEXTO DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012205007,DESPACHO 007 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO SEPTIMO DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012205008,DESPACHO 008 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO OCTAVO DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012205009,DESPACHO 009 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO NOVENO DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012205010,DESPACHO 010 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO DECIMO DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012205011,DESPACHO 011 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO ONCE DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012205012,DESPACHO 012 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO DOCE DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012205013,DESPACHO 013 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO TRECE DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012205014,DESPACHO 014 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO CATORCE DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012205015,DESPACHO 015 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO QUINCE DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN,6673,
50012205016,DESPACHO 016 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO DIECISEIS DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN,6673,
50012205017,DESPACHO 017 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO DIECISIETE DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN,6673,
50012205018,DESPACHO 018 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO DIECIOCHO DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN,6673,
50012205019,DESPACHO 019 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN,32,DESPACHO DIECINUEVE DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN,6673,
50012205020,DESPACHO 020 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN,32,DESPACHO VEINTE DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN,6673,
50012205021,DESPACHO 021 DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN,32,DESPACHO VEINTIUNO DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE MEDELLIN,6673,
50012210000,SECRETARIA DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,NULL,6673,
50012210001,DESPACHO 001 DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO PRIMERO DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012210002,DESPACHO 002 DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO SEGUNDO DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012210003,DESPACHO 003 DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO TERCERO DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012210004,DESPACHO 004 DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO CUARTO DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012215000,SECRETARIA GENERAL DEL TRIBUNAL SUPERIOR DE MEDELLIN,32,NULL,6673,
50012219000,SECRETARIA DE LA SALA PENAL DE JUSTICIA Y PAZ DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,NULL,6673,
50012219001,DESPACHO 001 DE LA SALA PENAL DE JUSTICIA Y PAZ DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO PRIMERO DE LA SALA PENAL DE JUSTICIA Y PAZ DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012219002,DESPACHO 002 DE LA SALA PENAL DE JUSTICIA Y PAZ DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO SEGUNDO DE LA SALA PENAL DE JUSTICIA Y PAZ DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012219003,DESPACHO 003 DE LA SALA PENAL DE JUSTICIA Y PAZ DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO TERCERO DE LA SALA PENAL DE JUSTICIA Y PAZ DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012219004,DESPACHO 004 DE LA SALA PENAL DE JUSTICIA Y PAZ DEL TRIBUNAL SUPERIOR DE MEDELLIN ,32,DESPACHO CUARTO DE LA SALA PENAL DE JUSTICIA Y PAZ DEL TRIBUNAL SUPERIOR DE MEDELLIN ,6673,
50012220001,DESPACHO 001 DE LA SALA ESPECIALIZADA EN EXTINCION DE DOMINIO DEL TRIBUNAL SUPERIOR DE MEDELLIN,32,DESPACHO PRIMERO DE LA SALA ESPECIALIZADA EN EXTINCION DE DOMINIO DEL TRIBUNAL SUPERIOR DE MEDELLIN,6673,
50012220002,DESPACHO 002 DE LA SALA ESPECIALIZADA EN EXTINCION DE DOMINIO DEL TRIBUNAL SUPERIOR DE MEDELLIN,32,DESPACHO SEGUNDO DE LA SALA ESPECIALIZADA EN EXTINCION DE DOMINIO DEL TRIBUNAL SUPERIOR DE MEDELLIN,6673,
50012220003,DESPACHO 003 DE LA SALA ESPECIALIZADA EN EXTINCION DE DOMINIO DEL TRIBUNAL SUPERIOR DE MEDELLIN,32,DESPACHO TERCERO DE LA SALA ESPECIALIZADA EN EXTINCION DE DOMINIO DEL TRIBUNAL SUPERIOR DE MEDELLIN,6673,
50012315000,SECRETARIA GENERAL DEL TRIBUNAL ADMINISTRATIVO DE ANTIOQUIA,32,NULL,6673,
50012331009,DESPACHO 009 DEL TRIBUNAL ADMINISTRATIVO DE ANTIOQUIA,32,DESPACHO NOVENO DEL TRIBUNAL ADMINISTRATIVO DE ANTIOQUIA,6673,
50012333001,DESPACHO 001 DEL TRIBUNAL ADMINISTRATIVO DE ANTIOQUIA,32,DESPACHO PRIMERO DEL TRIBUNAL ADMINISTRATIVO DE ANTIOQUIA,6673,
50012333002,DESPACHO 002 DEL TRIBUNAL ADMINISTRATIVO DE ANTIOQUIA,32,DESPACHO SEGUNDO DEL TRIBUNAL ADMINISTRATIVO DE ANTIOQUIA,6673,
50012333003,DESPACHO 003 DEL TRIBUNAL ADMINISTRATIVO DE ANTIOQUIA,32,DESPACHO TERCERO DEL TRIBUNAL ADMINISTRATIVO DE ANTIOQUIA,6673,
50012333004,DESPACHO 004 DEL TRIBUNAL ADMINISTRATIVO DE ANTIOQUIA,32,DESPACHO CUARTO DEL TRIBUNAL ADMINISTRATIVO DE ANTIOQUIA,6673,
50012333005,DESPACHO 005 DEL TRIBUNAL ADMINISTRATIVO DE ANTIOQUIA,32,DESPACHO QUINTO DEL TRIBUNAL ADMINISTRATIVO DE ANTIOQUIA,6673,
50012333006,DESPACHO 006 DEL TRIBUNAL ADMINISTRATIVO DE ANTIOQUIA,32,DESPACHO SEXTO DEL TRIBUNAL ADMINISTRATIVO DE ANTIOQUIA,6673,
50012333007,DESPACHO 007 DEL TRIBUNAL ADMINISTRATIVO DE ANTIOQUIA,32,DESPACHO SEPTIMO DEL TRIBUNAL ADMINISTRATIVO DE ANTIOQUIA,6673,
